business_id,name,Food Score,Service Score,Environment Score,Variety Score,Music Score,Drink Score,Sauce Score,Stars,Review Count,address
cQqDl2LsQw_JpbC-cu3KvA,Spice Indian Grill,0.2540983606557377,0.4377450980392157,0.6,0.348,,0.0,0.35333333333333333,4.5,88,"4498 N Alafaya Trl, Ste 306"
5K6W5eZKzJNImYVxHG7G4g,Texas de Brazil,0.43456319956319955,0.420197837589142,0.4558080808080808,0.27916926406926407,0.5,0.1409090909090909,0.45370370370370366,4.0,825,"5259 International Dr, Ste F1"
ZqYyavcfs69iGVnpn5t9Fg,The Crystal Palace,0.25577577931134415,0.17102564102564102,0.6288461538461539,0.30027797921198934,,0.06666666666666667,0.0,3.5,565,1365 W Monorail Way
3O8mfTK37HGnCgowSLG3bA,The Garden Gallery,0.20888888888888887,-0.1,0.3,0.19675324675324674,,,,3.5,19,1950 Magnolia Palm
6-nX4fFhEBZBOGPZGGl5ng,The Knife - Lake Buena Vista,0.13030925013683636,0.23160066006600663,0.48095238095238096,0.34310381810381807,0.20189393939393938,0.12192460317460317,0.07142857142857142,3.0,462,12501 State Rd 535
Yttutdu1cYsHQU_nEu-ZDg,Tony's Brazilian Grill,0.3091666666666667,0.4291666666666667,0.3416666666666667,0.19374999999999998,,0.18333333333333335,0.0,4.0,53,5159 International Dr
5xjvDjN7s-FC00gkqAPqmA,Tropical Cabana,0.4456456456456457,0.5541666666666667,0.15,0.5942307692307692,0.1363636363636363,0.16944444444444443,0.2916666666666667,5.0,148,1875 Central Florida Pkwy
ets5rqez9CZGJ0Z1BN72mg,U & Me Revolving Hot Pot,0.5016666666666667,0.38452380952380955,0.48888888888888893,0.33755411255411255,,0.1041666666666667,0.2375,4.0,105,12384 S Apopka Vineland Rd
_vS_Bhzhoa5Z3CYVmUf5jg,Villa de Flora,0.28208333333333335,0.4235507246376812,0.73125,0.3552813852813853,0.18727272727272726,0.055844155844155835,0.3333333333333333,3.5,138,6000 W Osceola Pkwy
zsH_s5Lwh_OALAEewCsbew,Whistle Stop Restaurant,0.37777777777777777,,0.8,0.25,,0.4,,4.0,8,2728 Cayman Cir
